datetime,cloud_cover,month
2025-06-09 15:02:34.479000+00:00,7.15,6
2025-07-31 16:19:24.015000+00:00,91.42,7
2025-07-31 16:18:52.478000+00:00,78.23,7
2025-07-31 16:18:52.880000+00:00,67.94,7
2025-07-31 16:16:09.507000+00:00,65.79,7
2025-07-31 16:15:49.849000+00:00,96.86,7
2025-07-31 16:17:20.562000+00:00,76.52,7
2025-07-31 16:16:09.928000+00:00,71.43,7
2025-07-31 16:16:25.754000+00:00,84.79,7
2025-07-31 16:16:32.538000+00:00,97.93,7
2025-07-31 16:16:13.689000+00:00,98.34,7
2025-07-31 16:16:09.247000+00:00,98.21,7
2025-07-31 16:17:21.913000+00:00,99.95,7
2025-07-31 16:18:11.901000+00:00,96.85,7
2025-07-31 16:16:14.998000+00:00,86.36,7
2025-07-31 16:16:08.202000+00:00,99.9,7
2025-07-31 16:17:29.654000+00:00,99.82,7
2025-07-31 16:16:13.260000+00:00,99.96,7
2025-07-31 16:16:05.476000+00:00,99.97,7
2025-07-31 16:17:56.228000+00:00,99.95,7
2025-07-31 16:15:59.985000+00:00,99.98,7
2025-07-31 16:16:00.871000+00:00,99.98,7
2025-07-31 16:21:05.462000+00:00,99.98,7
2025-07-29 16:34:35.683000+00:00,26.47,7
2025-07-29 16:31:34.102000+00:00,56.78,7
2025-07-29 16:33:45.270000+00:00,85.4,7
2025-07-29 16:35:36.078000+00:00,64.71,7
2025-07-29 16:37:17.487000+00:00,96.13,7
2025-07-29 16:32:44.808000+00:00,91.37,7
2025-07-29 16:37:13.609000+00:00,96.94,7
2025-07-29 16:37:10.405000+00:00,67.86,7
2025-07-29 16:34:32.675000+00:00,56.13,7
2025-07-29 16:37:22.441000+00:00,26.74,7
2025-07-29 16:33:36.330000+00:00,13.64,7
2025-07-29 16:32:33.734000+00:00,19.89,7
2025-07-29 16:36:45.537000+00:00,4.68,7
2025-07-29 16:34:40.942000+00:00,34.83,7
